amount_spent,visits,previous_coupons,issue_coupon
6786,9,0,Yes
5207,13,0,Yes
706,5,0,No
7109,7,2,Yes
7107,18,2,Yes
9387,12,5,Yes
6653,15,0,Yes
9669,1,3,No
7907,4,2,Yes
2028,10,4,No
6065,20,4,Yes
8875,7,1,Yes
9873,19,1,Yes
5034,4,3,Yes
4803,3,3,Yes
7425,2,2,No
6374,5,1,Yes
6438,12,4,Yes
6264,10,1,Yes
2958,18,5,No
7901,15,4,Yes
2926,10,1,No
9295,13,3,Yes
7006,16,2,Yes
7109,7,2,Yes
3535,8,3,Yes
6611,18,3,Yes
5528,12,5,Yes
7032,13,4,Yes
4202,1,4,No
8636,10,5,Yes
5207,13,0,Yes
3410,18,1,Yes
6429,17,3,Yes
8324,12,0,Yes
5758,13,3,Yes
1871,16,2,No
4578,15,5,Yes
162,14,0,No
6653,15,0,Yes
4935,16,1,Yes
2440,3,5,No
536,20,4,No
6907,6,2,Yes
9698,13,1,Yes
1506,4,4,No
1289,12,2,No
2440,3,5,No
8893,1,2,No
9132,19,4,Yes
7024,11,0,Yes
572,5,2,No
7907,4,2,Yes
4219,18,0,Yes
7875,19,3,Yes
2937,15,1,No
952,6,0,No
9968,1,2,No
8012,12,2,Yes
1098,18,4,No
4266,20,5,Yes
2625,20,4,No
5018,6,5,Yes
3368,2,5,No
101,17,3,No
4544,2,0,No
6114,19,4,Yes
5283,6,0,Yes
7050,4,5,Yes
9259,6,3,Yes
6534,16,0,Yes
8789,1,1,No
208,18,0,No
8950,9,1,Yes
6611,18,3,Yes
1989,8,2,No
6653,15,0,Yes
1099,13,3,No
3575,20,0,Yes
2109,5,5,No
1957,13,4,No
5510,4,0,Yes
9602,20,5,Yes
2060,13,2,No
9072,17,0,Yes
7109,7,2,Yes
2977,4,4,No
4663,15,0,Yes
1149,9,3,No
3231,10,3,Yes
6376,3,1,Yes
6199,12,0,Yes
6090,20,4,Yes
6118,18,0,Yes
6467,20,4,Yes
7122,5,3,Yes
1594,4,4,No
1221,8,3,No
428,1,4,No
2023,10,3,No
8375,13,1,Yes
4935,16,1,Yes
7514,4,4,Yes
3624,19,2,Yes
1594,4,4,No
7532,12,3,Yes
8914,7,5,Yes
4663,15,0,Yes
8324,12,0,Yes
7337,7,0,Yes
6890,19,0,Yes
9295,13,3,Yes
459,19,4,No
1087,3,5,No
1871,13,1,No
5183,11,2,Yes
7887,18,5,Yes
1506,4,4,No
2348,9,1,No
3821,3,0,Yes
9298,11,0,Yes
9890,15,4,Yes
7109,7,2,Yes
3390,16,4,Yes
8636,10,5,Yes
5207,13,0,Yes
1407,8,2,No
5197,17,1,Yes
325,11,5,No
7065,8,3,Yes
8809,3,4,Yes
1515,18,5,No
8879,6,0,Yes
5977,10,1,Yes
4575,7,4,Yes
702,12,5,No
6786,9,0,Yes
2216,13,5,No
9169,7,5,Yes
1639,17,5,No
1515,18,5,No
1243,7,4,No
5207,13,0,Yes
8381,16,0,Yes
5053,8,4,Yes
5852,5,5,Yes
9800,8,2,Yes
7506,9,1,Yes
8381,16,0,Yes
2029,9,1,No
4513,16,5,Yes
6374,5,1,Yes
140,3,1,No
7875,19,3,Yes
8012,17,5,Yes
2625,20,4,No
5034,4,3,Yes
3624,19,2,Yes
2348,9,1,No
3783,5,4,Yes
9944,5,3,Yes
412,10,4,No
2216,13,5,No
6114,19,4,Yes
5829,20,1,Yes
140,3,1,No
781,15,3,No
6950,8,3,Yes
2072,17,3,No
6324,11,4,Yes
4429,5,0,Yes
1450,12,3,No
8927,6,1,Yes
1665,17,1,No
5829,20,1,Yes
8670,20,5,Yes
9185,4,4,Yes
6855,1,5,No
6114,19,4,Yes
7870,3,1,Yes
3637,17,4,Yes
5322,14,1,Yes
9800,8,2,Yes
3913,6,1,Yes
4741,20,4,Yes
1221,8,3,No
8661,4,3,Yes
6264,10,1,Yes
4211,18,2,Yes
562,12,0,No
140,3,1,No
5283,6,0,Yes
9999,20,0,Yes
5481,5,0,Yes
6919,11,1,Yes
1639,17,5,No
9661,19,4,Yes
9584,13,2,Yes
2313,10,4,No
2456,20,2,No
8331,8,1,Yes
801,7,5,No
952,6,0,No
4510,5,1,Yes
9021,16,0,Yes
2958,18,5,No
8328,14,4,Yes
6915,4,5,Yes
4405,12,5,Yes
8574,9,0,Yes
6138,9,4,Yes
7107,18,2,Yes
5701,14,1,Yes
6696,11,1,Yes
6208,10,0,Yes
913,6,4,No
9546,12,4,Yes
4510,5,1,Yes
6138,9,4,Yes
4269,1,4,No
8809,3,4,Yes
6987,12,5,Yes
410,15,5,No
5977,10,1,Yes
7032,13,4,Yes
6303,13,3,Yes
9124,1,3,No
6202,1,1,No
4741,20,4,Yes
5501,4,4,Yes
810,17,3,No
2604,6,4,No
3143,16,1,Yes
737,5,2,No
7302,14,5,Yes
2023,10,3,No
244,4,3,No
1715,16,5,No
5008,1,1,No
1116,10,5,No
3557,9,3,Yes
952,6,0,No
3368,2,5,No
2051,8,4,No
1715,16,5,No
2485,8,0,No
6114,19,4,Yes
7270,13,4,Yes
7735,11,3,Yes
1871,16,2,No
845,2,4,No
4408,3,3,Yes
4084,8,3,Yes
457,3,3,No
9546,7,2,Yes
5829,20,1,Yes
8131,12,1,Yes
7176,10,4,Yes
5034,4,3,Yes
8891,18,1,Yes
6786,9,0,Yes
1204,2,1,No
2022,16,2,No
572,5,2,No
2825,10,3,No
9051,6,1,Yes
1700,14,0,No
8574,9,0,Yes
5990,8,5,Yes
5510,4,0,Yes
1315,11,2,No
1625,13,4,No
8021,12,1,Yes
5981,12,4,Yes
9472,7,4,Yes
5741,10,0,Yes
931,17,0,No
862,3,0,No
737,5,2,No
2528,19,3,No
9263,7,1,Yes
5409,4,2,Yes
6337,6,1,Yes
4575,7,4,Yes
2417,12,5,No
135,13,2,No
5528,12,5,Yes
824,13,1,No
7379,13,2,Yes
356,8,1,No
9584,13,2,Yes
5501,4,4,Yes
5872,8,5,Yes
4734,10,4,Yes
5607,13,0,Yes
9538,11,2,Yes
1204,2,1,No
3222,20,0,Yes
3259,4,0,Yes
273,8,5,No
8801,6,5,Yes
6860,17,1,Yes
186,3,1,No
6890,19,0,Yes
1204,2,1,No
2619,1,2,No
176,9,2,No
5248,1,4,No
5248,1,4,No
6340,5,1,Yes
6992,12,2,Yes
9215,2,2,No
7166,3,4,Yes
4858,2,1,No
9690,18,0,Yes
4019,9,2,Yes
4758,16,0,Yes
4427,13,3,Yes
4935,16,1,Yes
2352,1,2,No
3494,19,4,Yes
8917,16,0,Yes
9425,10,2,Yes
9669,1,3,No
845,2,4,No
3795,6,0,Yes
7055,3,0,Yes
4009,2,2,No
845,2,4,No
5792,3,4,Yes
9260,19,4,Yes
9363,1,1,No
4741,20,4,Yes
8801,6,5,Yes
5607,13,0,Yes
4758,16,0,Yes
8533,15,1,Yes
9263,7,1,Yes
5918,11,3,Yes
4741,20,4,Yes
1320,6,4,No
135,13,2,No
9755,17,4,Yes
7870,3,1,Yes
5741,10,0,Yes
9750,19,0,Yes
6336,15,3,Yes
6376,3,1,Yes
1261,1,2,No
5665,15,3,Yes
7646,12,4,Yes
1974,18,3,No
4919,15,5,Yes
3072,5,3,Yes
5248,1,4,No
1871,19,0,No
6696,11,1,Yes
4881,14,5,Yes
1515,18,5,No
8435,15,0,Yes
3953,13,3,Yes
3741,5,0,Yes
801,7,5,No
8589,10,5,Yes
7481,20,5,Yes
6405,5,1,Yes
9483,20,1,Yes
5629,6,2,Yes
6995,4,4,Yes
8908,7,2,Yes
8879,6,0,Yes
1273,9,3,No
9039,6,5,Yes
2838,7,1,No
6475,18,0,Yes
7039,9,4,Yes
3400,5,0,Yes
6843,2,1,No
1329,4,0,No
1120,5,2,No
5916,6,3,Yes
3783,5,4,Yes
9425,10,2,Yes
3756,17,2,Yes
1044,8,3,No
9939,20,2,Yes
2754,11,4,No
1876,20,3,No
9466,7,0,Yes
5990,8,5,Yes
9519,3,1,Yes
3550,11,0,Yes
8950,9,1,Yes
530,3,0,No
6114,19,4,Yes
2456,20,2,No
6221,14,5,Yes
6405,5,1,Yes
7506,9,1,Yes
4019,9,2,Yes
4919,15,5,Yes
8713,14,3,Yes
8594,12,2,Yes
5018,6,5,Yes
801,7,5,No
2247,20,0,No
1099,13,3,No
572,5,2,No
5918,11,3,Yes
1625,13,4,No
457,3,3,No
9124,1,3,No
4486,3,3,Yes
9051,6,1,Yes
1415,11,4,No
5726,3,2,Yes
8331,8,1,Yes
7961,12,1,Yes
6324,11,4,Yes
8893,1,2,No
6653,15,0,Yes
2051,8,4,No
5701,14,1,Yes
6090,20,4,Yes
6467,20,4,Yes
4925,5,1,Yes
896,20,3,No
7353,10,1,Yes
8594,12,2,Yes
5183,11,2,Yes
9483,20,1,Yes
929,6,1,No
1289,12,2,No
4544,2,0,No
8828,14,3,Yes
5547,5,5,Yes
7514,4,4,Yes
9532,13,4,Yes
7935,14,0,Yes
6000,2,4,No
6534,16,0,Yes
2060,13,2,No
8223,20,2,Yes
2490,1,1,No
8299,18,4,Yes
7538,3,4,Yes
9466,7,0,Yes
2017,17,1,No
7162,12,0,Yes
2842,18,5,No
6855,14,2,Yes
7532,12,3,Yes
5279,5,4,Yes
4427,13,3,Yes
5758,13,3,Yes
6221,14,5,Yes
3550,11,0,Yes
9541,13,1,Yes
3783,5,4,Yes
9051,6,1,Yes
8789,1,1,No
1055,20,0,No
7538,3,4,Yes
4803,3,3,Yes
9039,6,5,Yes
4078,9,0,Yes
832,4,4,No
4744,3,3,Yes
1087,3,5,No
3821,3,0,Yes
8741,14,2,Yes
9937,10,1,Yes
7538,3,4,Yes
6224,5,2,Yes
2937,15,1,No
6376,3,1,Yes
4138,9,2,Yes
4084,8,3,Yes
530,3,0,No
7994,10,5,Yes
7940,6,0,Yes
690,12,2,No
7901,15,4,Yes
1868,16,2,No
1989,8,2,No
1044,8,3,No
7405,6,5,Yes
1120,5,2,No
9690,18,0,Yes
2842,18,5,No
793,14,5,No
2051,8,4,No
9830,3,2,Yes
5593,5,3,Yes
9726,18,1,Yes
562,12,0,No
273,8,5,No
8021,12,1,Yes
1087,3,5,No
8299,18,4,Yes
2284,15,4,No
6995,4,4,Yes
5443,9,1,Yes
2485,8,0,No
6968,7,3,Yes
7532,12,3,Yes
9191,16,5,Yes
8223,20,2,Yes
5153,2,1,No
2880,3,5,No
5318,6,5,Yes
6065,20,4,Yes
737,5,2,No
2473,6,0,No
8934,5,5,Yes
2247,20,0,No
1407,8,2,No
6090,20,4,Yes
4175,19,5,Yes
5472,10,2,Yes
8652,12,0,Yes
4935,16,1,Yes
1320,6,4,No
101,17,3,No
8375,13,1,Yes
9387,12,5,Yes
5629,6,2,Yes
702,12,5,No
8809,3,4,Yes
6214,11,0,Yes
5222,18,1,Yes
6367,20,3,Yes
1566,8,0,No
6376,3,1,Yes
3662,3,0,Yes
1334,6,5,No
9728,3,3,Yes
3783,5,4,Yes
4405,12,5,Yes
5623,10,4,Yes
4803,3,3,Yes
9662,19,3,Yes
3494,19,4,Yes
6975,6,4,Yes
4211,18,2,Yes
6311,6,3,Yes
4903,20,2,Yes
4666,8,4,Yes
2107,9,4,No
5183,11,2,Yes
9387,12,5,Yes
2247,20,0,No
232,19,4,No
9661,19,4,Yes
1463,4,1,No
5899,7,5,Yes
4138,9,2,Yes
9698,13,1,Yes
7270,13,4,Yes
6467,20,4,Yes
6946,6,2,Yes
5623,10,4,Yes
1566,8,0,No
5008,1,1,No
8927,6,1,Yes
7405,6,5,Yes
9690,18,0,Yes
7994,10,5,Yes
162,14,0,No
3231,10,3,Yes
1566,8,0,No
1055,20,0,No
6324,11,4,Yes
5977,10,1,Yes
3280,10,2,Yes
1192,2,0,No
3991,4,2,Yes
457,3,3,No
5283,1,5,No
7050,4,5,Yes
7032,13,4,Yes
1364,10,4,No
5044,11,1,Yes
186,3,1,No
5254,15,4,Yes
3490,6,3,Yes
8924,7,4,Yes
8375,13,1,Yes
4908,14,4,Yes
6376,3,1,Yes
1515,18,5,No
3280,10,2,Yes
4211,18,2,Yes
4684,3,4,Yes
7115,6,4,Yes
1625,13,4,No
9169,7,5,Yes
3773,4,3,Yes
2880,3,5,No
896,20,3,No
4944,9,0,Yes
1261,1,2,No
1044,8,3,No
3072,5,3,Yes
9425,10,2,Yes
3590,5,1,Yes
9532,13,4,Yes
2461,14,5,No
9259,6,3,Yes
8893,1,2,No
1233,14,5,No
9800,8,2,Yes
8661,4,3,Yes
8223,20,2,Yes
1622,12,3,No
896,20,3,No
5872,8,5,Yes
9312,16,0,Yes
6340,5,1,Yes
6943,10,5,Yes
1873,12,4,No
1334,6,5,No
4009,2,2,No
6987,12,5,Yes
2456,20,2,No
3683,17,0,Yes
931,17,0,No
1594,4,4,No
7534,9,5,Yes
1020,12,2,No
4803,3,3,Yes
6855,1,5,No
4741,20,4,Yes
793,14,5,No
8934,5,5,Yes
3683,17,0,Yes
7065,8,3,Yes
745,10,2,No
4684,3,4,Yes
6978,15,0,Yes
4544,2,0,No
491,8,5,No
5829,20,1,Yes
9394,2,2,No
459,19,4,No
3662,3,0,Yes
8801,6,5,Yes
7403,2,4,No
7994,10,5,Yes
3072,5,3,Yes
2392,1,4,No
3490,6,3,Yes
7065,8,3,Yes
3821,3,0,Yes
2958,18,5,No
5701,14,1,Yes
401,13,5,No
4202,1,4,No
3913,6,1,Yes
5207,13,0,Yes
1715,16,5,No
745,10,2,No
3550,11,0,Yes
6195,15,5,Yes
1018,9,3,No
1515,18,5,No
2284,15,4,No
8156,3,1,Yes
1974,18,3,No
3752,15,5,Yes
5167,14,5,Yes
2958,18,5,No
8908,7,2,Yes
1109,5,4,No
8021,12,1,Yes
824,13,1,No
9584,13,2,Yes
7391,1,1,No
6028,3,3,Yes
172,7,2,No
3532,9,3,Yes
6530,8,4,Yes
1450,12,3,No
5278,4,0,Yes
6337,6,1,Yes
1962,3,4,No
6611,18,3,Yes
9890,15,4,Yes
306,4,5,No
7337,7,0,Yes
752,2,0,No
7205,14,5,Yes
6214,11,0,Yes
8636,10,5,Yes
4405,12,5,Yes
9132,19,4,Yes
424,14,2,No
9263,7,1,Yes
7270,13,4,Yes
621,19,1,No
1873,12,4,No
2390,2,3,No
6114,19,4,Yes
9051,6,1,Yes
1273,9,3,No
8299,18,4,Yes
4903,20,2,Yes
3231,10,3,Yes
4908,14,4,Yes
7735,11,3,Yes
4074,15,3,Yes
5283,6,0,Yes
8156,3,1,Yes
9387,12,5,Yes
6405,5,1,Yes
5324,20,4,Yes
9039,6,5,Yes
2625,20,4,No
8888,11,5,Yes
472,10,1,No
9512,9,0,Yes
5167,14,5,Yes
9747,11,4,Yes
9541,13,1,Yes
5425,6,4,Yes
6467,20,4,Yes
401,13,5,No
5547,5,5,Yes
3953,13,3,Yes
7646,12,4,Yes
7024,11,0,Yes
2977,4,4,No
8879,6,0,Yes
8917,16,0,Yes
862,3,0,No
7405,6,5,Yes
9519,3,1,Yes
4429,5,0,Yes
1020,12,2,No
5792,3,4,Yes
1835,1,3,No
3231,10,3,Yes
5104,9,2,Yes
7403,2,4,No
6943,10,5,Yes
1450,12,3,No
2352,1,2,No
6325,5,3,Yes
3913,6,1,Yes
5588,14,4,Yes
2825,10,3,No
4405,12,5,Yes
8917,16,0,Yes
9363,1,1,No
7221,9,5,Yes
9215,2,2,No
2392,1,4,No
8021,12,1,Yes
6916,19,2,Yes
4803,3,3,Yes
530,3,0,No
7039,9,4,Yes
6208,10,0,Yes
244,4,3,No
5528,12,5,Yes
8328,14,4,Yes
8670,20,5,Yes
7403,2,4,No
8801,6,5,Yes
2273,6,2,No
7784,7,4,Yes
5996,9,0,Yes
4988,14,1,Yes
5472,3,0,Yes
9937,10,1,Yes
6195,15,5,Yes
4074,15,3,Yes
3180,3,2,Yes
1957,13,4,No
9532,13,4,Yes
232,19,4,No
7994,10,5,Yes
2028,10,4,No
5916,6,3,Yes
1622,12,3,No
6919,11,1,Yes
4744,3,3,Yes
5665,15,3,Yes
8012,12,2,Yes
2838,7,1,No
8801,6,5,Yes
6367,20,3,Yes
793,14,5,No
266,17,5,No
4298,12,2,Yes
3986,13,2,Yes
208,18,0,No
621,19,1,No
9138,5,3,Yes
2390,2,3,No
3821,3,0,Yes
5053,8,4,Yes
2684,15,5,No
5981,12,4,Yes
832,4,4,No
6212,1,1,No
7994,10,5,Yes
8594,12,2,Yes
9472,7,4,Yes
140,3,1,No
208,18,0,No
4205,7,4,Yes
8888,11,5,Yes
4441,4,1,Yes
3986,13,2,Yes
5872,8,5,Yes
2017,17,1,No
4441,4,1,Yes
7971,6,1,Yes
9185,4,4,Yes
4903,20,2,Yes
7907,4,2,Yes
5636,4,3,Yes
9295,13,3,Yes
3966,12,2,Yes
2117,19,5,No
6860,17,1,Yes
1087,3,5,No
6084,12,1,Yes
9939,20,2,Yes
5044,11,1,Yes
1700,14,0,No
7055,3,0,Yes
5918,11,3,Yes
5503,14,2,Yes
6530,8,4,Yes
472,10,1,No
9405,20,2,Yes
410,15,5,No
9180,7,1,Yes
8630,20,2,Yes
9876,18,0,Yes
1876,20,3,No
2440,3,5,No
9039,6,5,Yes
6855,14,2,Yes
244,4,3,No
6040,10,1,Yes
6855,1,5,No
3261,1,5,No
7353,10,1,Yes
1594,8,0,No
232,19,4,No
9185,4,4,Yes
7538,3,4,Yes
9602,20,5,Yes
232,19,4,No
6906,15,3,Yes
1326,16,4,No
5018,6,5,Yes
4935,16,1,Yes
4878,9,2,Yes
9602,20,5,Yes
1233,14,5,No
6224,5,2,Yes
6367,20,3,Yes
3966,12,2,Yes
6438,12,4,Yes
8012,17,5,Yes
1407,8,2,No
7875,19,3,Yes
2348,9,1,No
3143,16,1,Yes
3752,15,5,Yes
9298,11,0,Yes
2625,20,4,No
2926,10,1,No
4878,9,2,Yes
3666,2,4,No
135,13,2,No
7481,20,5,Yes
7302,14,5,Yes
5918,11,3,Yes
1515,18,5,No
2604,6,4,No
2754,11,4,No
424,14,2,No
6860,17,1,Yes
3072,5,3,Yes
7379,13,2,Yes
7270,13,4,Yes
1843,10,4,No
9541,13,1,Yes
1480,8,5,No
8324,12,0,Yes
1170,13,4,No
2962,2,0,No
6574,13,5,Yes
1289,12,2,No
1055,20,0,No
5510,4,0,Yes
9298,11,0,Yes
9800,8,2,Yes
4663,15,0,Yes
5916,6,3,Yes
6653,15,0,Yes
3773,4,3,Yes
4881,14,5,Yes
325,11,5,No
6640,9,3,Yes
1261,1,2,No
4741,20,4,Yes
8331,8,1,Yes
7961,12,1,Yes
4429,5,0,Yes
4881,17,3,Yes
4372,13,2,Yes
325,11,5,No
9669,1,3,No
8908,7,2,Yes
9546,7,2,Yes
9755,17,4,Yes
4741,20,4,Yes
325,11,5,No
8809,3,4,Yes
4878,9,2,Yes
4666,8,4,Yes
8324,12,0,Yes
2017,17,1,No
7935,14,0,Yes
1962,3,4,No
162,14,0,No
6324,11,4,Yes
1243,7,4,No
7646,12,4,Yes
5547,5,5,Yes
7268,18,4,Yes
6518,10,5,Yes
2522,20,4,No
6530,8,4,Yes
4298,12,2,Yes
7998,20,4,Yes
8713,14,3,Yes
3662,3,0,Yes
7534,9,5,Yes
6946,6,2,Yes
8131,12,1,Yes
7901,15,4,Yes
9602,20,5,Yes
8131,12,1,Yes
3752,15,5,Yes
2618,11,0,No
5095,11,2,Yes
7514,4,4,Yes
4266,20,5,Yes
2461,14,5,No
1364,10,4,No
5283,6,0,Yes
9619,4,1,Yes
832,4,4,No
2618,11,0,No
9185,4,4,Yes
3752,1,2,No
3986,13,2,Yes
8346,4,4,Yes
4427,13,3,Yes
244,4,3,No
3231,10,3,Yes
3259,4,0,Yes
6214,11,0,Yes
7870,3,1,Yes
5362,10,1,Yes
2107,9,4,No
6279,18,3,Yes
9221,1,0,No
3280,10,2,Yes
4858,2,1,No
3986,13,2,Yes
3792,10,3,Yes
4065,9,0,Yes
5782,11,2,Yes
3986,13,2,Yes
8328,14,4,Yes
6915,4,5,Yes
6890,19,0,Yes
3927,3,3,Yes
7405,6,5,Yes
5455,11,5,Yes
2528,19,3,No
5307,17,0,Yes
3122,6,3,Yes
8205,9,2,Yes
5824,8,4,Yes
2022,16,2,No
4138,9,2,Yes
7935,14,0,Yes
7039,9,4,Yes
4019,9,2,Yes
9999,20,0,Yes
6830,2,3,No
893,2,0,No
6696,11,1,Yes
5183,11,2,Yes
5741,10,0,Yes
2348,9,1,No
6199,12,0,Yes
7337,7,0,Yes
2022,16,2,No
8950,9,1,Yes
2607,10,0,No
7353,10,1,Yes
929,6,1,No
5034,4,3,Yes
3143,16,1,Yes
4522,18,3,Yes
6224,5,2,Yes
9003,13,1,Yes
752,2,0,No
3490,6,3,Yes
9191,16,5,Yes
9538,11,2,Yes
8446,13,0,Yes
1204,2,1,No
7735,11,3,Yes
5197,17,1,Yes
9191,16,5,Yes
2926,10,1,No
6224,5,2,Yes
9138,5,3,Yes
6376,3,1,Yes
8718,18,0,Yes
8908,7,2,Yes
6987,12,5,Yes
6897,14,3,Yes
5796,11,3,Yes
6138,9,4,Yes
9873,19,1,Yes
6367,20,3,Yes
7205,14,5,Yes
4510,5,1,Yes
4084,8,3,Yes
9873,19,1,Yes
6429,17,3,Yes
6138,9,4,Yes
6845,18,1,Yes
4283,1,2,No
4427,13,3,Yes
8012,12,2,Yes
8156,3,1,Yes
1149,9,3,No
2838,7,1,No
8589,10,5,Yes
5008,1,1,No
3557,9,3,Yes
8205,9,2,Yes
3680,19,1,Yes
8328,14,4,Yes
8713,14,3,Yes
810,17,3,No
8725,9,4,Yes
7115,6,4,Yes
3666,2,4,No
8661,4,3,Yes
4985,10,2,Yes
8652,12,0,Yes
2754,11,4,No
9512,9,0,Yes
6040,10,1,Yes
3792,10,3,Yes
8137,15,4,Yes
5185,8,3,Yes
9619,4,1,Yes
3966,12,2,Yes
8801,6,5,Yes
208,18,0,No
5636,4,3,Yes
412,10,4,No
6943,10,5,Yes
8636,10,5,Yes
3710,8,1,Yes
6340,5,1,Yes
6530,8,4,Yes
8914,7,5,Yes
8722,12,2,Yes
952,6,0,No
3541,8,1,Yes
4065,9,0,Yes
845,2,4,No
9937,10,1,Yes
7107,18,2,Yes
1974,18,3,No
4138,9,2,Yes
9124,1,3,No
5981,12,4,Yes
8636,10,5,Yes
2684,15,5,No
6199,12,0,Yes
1055,20,0,No
2456,20,2,No
7268,18,4,Yes
2390,2,3,No
2456,20,2,No
6035,4,4,Yes
851,1,5,No
6118,18,0,Yes
1415,11,4,No
8205,9,2,Yes
8891,18,1,Yes
4219,18,0,Yes
5916,6,3,Yes
1450,12,3,No
4427,13,3,Yes
2977,4,4,No
1055,20,0,No
9643,18,2,Yes
1049,8,1,No
1625,13,4,No
7994,10,5,Yes
5008,1,1,No
8937,2,1,No
7875,19,3,Yes
2107,9,4,No
4510,5,1,Yes
2051,8,4,No
3683,17,0,Yes
8021,12,1,Yes
4881,14,5,Yes
5547,5,5,Yes
9021,16,0,Yes
3366,1,3,No
1829,14,4,No
3666,2,4,No
1974,18,3,No
5796,11,3,Yes
4211,18,2,Yes
3756,17,2,Yes
9968,1,2,No
1109,5,4,No
3637,17,4,Yes
2216,13,5,No
6890,19,0,Yes
6946,6,2,Yes
4071,11,4,Yes
4071,11,4,Yes
7875,19,3,Yes
6035,4,4,Yes
845,2,4,No
5472,10,2,Yes
4988,14,1,Yes
7109,7,2,Yes
781,15,3,No
6138,9,4,Yes
5636,4,3,Yes
8789,1,1,No
5701,14,1,Yes
8205,9,2,Yes
1625,13,4,No
4985,10,2,Yes
472,10,1,No
9028,14,5,Yes
9939,20,2,Yes
8012,12,2,Yes
244,4,3,No
5981,12,4,Yes
5053,8,4,Yes
3991,4,2,Yes
2244,10,0,No
3966,12,2,Yes
478,5,3,No
1506,4,4,No
8299,18,4,Yes
8630,20,2,Yes
5528,12,5,Yes
5307,17,0,Yes
6405,5,1,Yes
4235,11,1,Yes
1515,18,5,No
3122,6,3,Yes
9937,10,1,Yes
459,19,4,No
9387,12,5,Yes
6574,13,5,Yes
7887,18,5,Yes
745,10,2,No
7506,9,1,Yes
1594,4,4,No
7735,11,3,Yes
9999,20,0,Yes
7032,13,4,Yes
4235,11,1,Yes
2619,1,2,No
6907,6,2,Yes
7302,14,5,Yes
4084,8,3,Yes
9726,10,0,Yes
9750,19,0,Yes
6943,10,5,Yes
4919,15,5,Yes
356,8,1,No
4266,20,5,Yes
5283,1,5,No
6653,15,0,Yes
162,14,0,No
5283,1,5,No
3683,17,0,Yes
2473,6,0,No
4510,5,1,Yes
9138,5,3,Yes
5981,12,4,Yes
9051,6,1,Yes
6429,17,3,Yes
7425,2,2,No
5880,8,0,Yes
6221,14,5,Yes
2604,6,4,No
5322,14,1,Yes
9968,1,2,No
6907,6,2,Yes
8630,20,2,Yes
9466,7,0,Yes
2247,20,0,No
9072,17,0,Yes
6367,20,3,Yes
2107,9,4,No
1715,16,5,No
2216,13,5,No
6906,15,3,Yes
2522,20,4,No
6860,17,1,Yes
832,4,4,No
7538,3,4,Yes
3400,5,0,Yes
101,17,3,No
6831,12,2,Yes
6084,12,1,Yes
3590,5,1,Yes
7050,4,5,Yes
4084,8,3,Yes
7592,19,4,Yes
2619,1,2,No
9969,11,1,Yes
9124,1,3,No
702,12,5,No
9191,16,5,Yes
3966,12,2,Yes
7278,16,2,Yes
5044,11,1,Yes
2618,11,0,No
478,5,3,No
266,17,5,No
6855,14,2,Yes
1871,19,0,No
6653,15,0,Yes
4666,8,4,Yes
3404,12,2,Yes
2514,14,3,No
2022,16,2,No
5078,3,3,Yes
6264,10,1,Yes
1018,9,3,No
9628,12,2,Yes
8789,1,1,No
478,5,3,No
5607,13,0,Yes
9628,12,2,Yes
428,1,4,No
4211,18,2,Yes
4700,7,3,Yes
7900,16,2,Yes
5008,1,1,No
1594,8,0,No
8012,12,2,Yes
6324,11,4,Yes
4298,12,2,Yes
9322,10,5,Yes
8893,1,2,No
5049,16,1,Yes
5197,17,1,Yes
7998,20,4,Yes
1665,17,1,No
7109,7,2,Yes
6405,5,1,Yes
2390,2,3,No
8801,6,5,Yes
4510,5,1,Yes
5593,5,3,Yes
4744,3,3,Yes
8888,11,5,Yes
3222,20,0,Yes
9698,13,1,Yes
5324,20,4,Yes
6906,15,3,Yes
3122,6,3,Yes
3624,19,2,Yes
7425,2,2,No
4878,9,2,Yes
9472,7,4,Yes
5501,4,4,Yes
6438,12,4,Yes
9138,5,3,Yes
6224,5,2,Yes
7935,14,0,Yes
4298,12,2,Yes
562,12,0,No
4755,15,2,Yes
3942,1,4,No
5924,5,3,Yes
7115,6,4,Yes
7532,12,3,Yes
530,3,0,No
4744,3,3,Yes
2625,20,4,No
7901,15,4,Yes
8589,10,5,Yes
162,14,0,No
8324,12,0,Yes
1700,14,0,No
5167,14,5,Yes
6975,6,4,Yes
3122,6,3,Yes
9619,4,1,Yes
1515,18,5,No
5824,8,4,Yes
3231,10,3,Yes
9698,13,1,Yes
7107,18,2,Yes
6992,12,2,Yes
6992,12,2,Yes
4522,18,3,Yes
8924,7,4,Yes
6118,18,0,Yes
6643,12,0,Yes
3400,5,0,Yes
9512,9,0,Yes
2607,10,0,No
4219,18,0,Yes
7971,6,1,Yes
9541,13,1,Yes
7176,10,4,Yes
1700,14,0,No
781,15,3,No
4429,5,0,Yes
7109,7,2,Yes
3668,4,4,Yes
244,4,3,No
1221,8,3,No
5977,10,1,Yes
2473,6,0,No
6040,10,1,Yes
6040,10,1,Yes
7870,3,1,Yes
8160,7,2,Yes
4908,14,4,Yes
2506,2,5,No
9169,7,5,Yes
3410,18,1,Yes
3752,1,2,No
273,8,5,No
7534,9,5,Yes
6579,9,1,Yes
2117,19,5,No
1868,16,2,No
1385,16,3,No
1087,3,5,No
7012,2,5,No
